L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   6, 6.38575614518591E-01,-6.64261122882294E+00,-4.44540060937990E+00,-3.17100881378688E+00,-6.61510150875814E+00,-4.13816813215145E+00,-4.13816813215145E+00,-9.37249451475713E-01
   6, 6.96316574356964E-01,-6.77392652569825E+00,-4.66186180401705E+00,-3.28080018084784E+00,-6.72975491313631E+00,-4.34639234409949E+00,-4.34639234409948E+00, 9.22186193865651E-01
   6, 7.46868589480215E-01,-6.90148569956196E+00,-4.84547656964008E+00,-3.37723379913751E+00,-6.83728404785770E+00,-4.52997253178299E+00,-4.52997253178299E+00, 9.07015915838771E-01
   6, 7.93132405742996E-01,-7.02898332372577E+00,-5.00784151113183E+00,-3.46572049474038E+00,-6.94125865679663E+00,-4.69894302728837E+00,-4.69894302728836E+00, 8.91489984058771E-01
   6, 8.37390524073114E-01,-7.16082107668424E+00,-5.15754393625227E+00,-3.55056379933036E+00,-7.04545700149892E+00,-4.86138639796949E+00,-4.86138639796948E+00, 8.75246343772828E-01
   6, 8.81648642403232E-01,-7.30238185692379E+00,-5.30140575277885E+00,-3.63558224867379E+00,-7.15404099608782E+00,-5.02455653304461E+00,-5.02455653304460E+00, 8.57812249084468E-01
   6, 9.27912458666013E-01,-7.46064395503412E+00,-5.44538215541833E+00,-3.72462779581171E+00,-7.27197177297063E+00,-5.19584527033206E+00,-5.19584527033206E+00, 8.38591833897729E-01
   6, 9.78464473789263E-01,-7.64522641903675E+00,-5.59527990475478E+00,-3.82211611988535E+00,-7.40568472114968E+00,-5.38379760584775E+00,-5.38379760584774E+00, 8.16850644416516E-01
   6, 1.00000000000000E+00,-7.72740661031254E+00,-5.65685424949238E+00,-3.86370330515627E+00,-7.46410161513775E+00,-5.46410161513776E+00,-5.46410161513775E+00, 8.07477523606671E-01
   6, 1.03620543362764E+00,-7.87011162331535E+00,-5.75744035666762E+00,-3.93369147687078E+00,-7.56416794817096E+00,-5.59940796637916E+00,-5.59940796637915E+00, 7.91720832540193E-01
   6, 1.10514650599932E+00,-8.15650740643408E+00,-5.93955850661899E+00,-4.06719495373436E+00,-7.76074595852923E+00,-5.85802946394900E+00,-5.85802946394899E+00, 7.62274382503492E-01
   6, 1.19119050350306E+00,-8.53766281810533E+00,-6.15193075578142E+00,-4.23421175152907E+00,-8.01613843955808E+00,-6.18244696387524E+00,-6.18244696387523E+00, 7.27742009789442E-01
   6, 1.30344703838640E+00,-9.06706539596295E+00,-6.40973534821095E+00,-4.45268937939251E+00,-8.36385906230812E+00,-6.60810450376346E+00,-6.60810450376345E+00, 6.87948891432330E-01
   6, 1.45653857938074E+00,-9.83262629093623E+00,-6.73758300063394E+00,-4.75154857110652E+00,-8.85994373966218E+00,-7.19234962618170E+00,-7.19234962618170E+00, 6.43891272761249E-01
   6, 1.67478104814623E+00,-1.09819669473382E+01,-7.17863011284765E+00,-5.17907228224225E+00,-9.60071973083115E+00,-8.03130220329371E+00,-8.03130220329370E+00, 5.98050076186706E-01
   6, 2.00000000000000E+00,-1.27693891272073E+01,-7.81213442749745E+00,-5.81862582235282E+00,-1.07556042372669E+01,-9.29150262212918E+00,-9.29150262212917E+00,-5.53892799641399E-01
   7, 0.00000000000000E+00,-7.00000000000000E+00,-3.00000000000000E+00,-3.00000000000000E+00,-7.00000000000000E+00,-3.00000000000000E+00,-3.00000000000000E+00, 1.00000000000000E+00
   7, 2.18242468765491E-01,-7.08360846071652E+00,-3.84788180934659E+00,-3.51587053473994E+00,-7.08359802927605E+00,-3.75884945820310E+00,-3.75884945820309E+00, 9.93918389877238E-01
   7, 3.71334009759827E-01,-7.24366794540572E+00,-4.50500204528468E+00,-3.90189511998139E+00,-7.24325406848312E+00,-4.34294550817313E+00,-4.34294550817313E+00, 9.81624669722628E-01
   7, 4.83590544643172E-01,-7.41687522283998E+00,-5.00868996818092E+00,-4.19422689840878E+00,-7.41436418162986E+00,-4.79304626978637E+00,-4.79304626978636E+00,-9.67255130704563E-01
   7, 5.69634542146905E-01,-7.58417928883514E+00,-5.40046672718426E+00,-4.42256718575211E+00,-7.57664719050285E+00,-5.14854796329259E+00,-5.14854796329258E+00,-9.52202162340353E-01
   7, 6.38575614518591E-01,-7.74189525667886E+00,-5.71367310516987E+00,-4.60779745344800E+00,-7.72592721031958E+00,-5.43912441353407E+00,-5.43912441353406E+00, 9.36874899329567E-01
   7, 6.96316574356964E-01,-7.89168319245132E+00,-5.97277658576492E+00,-4.76431223124945E+00,-7.86381152701798E+00,-5.68601262591802E+00,-5.68601262591802E+00, 9.21286697251587E-01
   7, 7.46868589480215E-01,-8.03712366194526E+00,-6.19537668744335E+00,-4.90227194733558E+00,-7.99384030605489E+00,-5.90456416578760E+00,-5.90456416578760E+00, 9.05256904583738E-01
   7, 7.93132405742996E-01,-8.18267138311157E+00,-6.39433673146859E+00,-5.02922816826212E+00,-8.12017411413121E+00,-6.10639007632441E+00,-6.10639007632440E+00,-8.88474002923094E-01
   7, 8.37390524073114E-01,-8.33354780901687E+00,-6.57947914502584E+00,-5.15125943739658E+00,-8.24732096100895E+00,-6.30097402414968E+00,-6.30097402414968E+00,-8.70507407178589E-01
   7, 8.81648642403232E-01,-8.49610892619947E+00,-6.75885421748702E+00,-5.27381739019484E+00,-8.38033773627409E+00,-6.49693352544825E+00,-6.49693352544823E+00,-8.50798076224261E-01
   7, 9.27912458666013E-01,-8.67860151659549E+00,-6.93972345920849E+00,-5.40245383325890E+00,-8.52533605910023E+00,-6.70314593364420E+00,-6.70314593364419E+00,-8.28643027808299E-01
   7, 9.78464473789263E-01,-8.89241813767615E+00,-7.12941765893587E+00,-5.54358324782474E+00,-8.69032171762265E+00,-6.92996503410734E+00,-6.92996503410732E+00,-8.03193966032071E-01
   7, 1.00000000000000E+00,-8.98791841486988E+00,-7.20775094321936E+00,-5.60387547160968E+00,-8.76257253506963E+00,-7.02703757859942E+00,-7.02703757859941E+00,-7.92141321829982E-01
   7, 1.03620543362764E+00,-9.15413535812451E+00,-7.33625075109454E+00,-5.70545535243900E+00,-8.88655023353413E+00,-7.19080425289999E+00,-7.19080425289998E+00,-7.73510015171208E-01
   7, 1.10514650599932E+00,-9.48885382977189E+00,-7.57075641005844E+00,-5.89958662376283E+00,-9.13077913081502E+00,-7.50449527524534E+00,-7.50449527524534E+00, 7.38734153249855E-01
   7, 1.19119050350306E+00,-9.93573910354512E+00,-7.84774026507288E+00,-6.14306351646596E+00,-9.44913250863656E+00,-7.89911132807860E+00,-7.89911132807860E+00,-6.98470961776450E-01
   7, 1.30344703838640E+00,-1.05573659247116E+01,-8.19011003896794E+00,-6.46245944676994E+00,-9.88390452988273E+00,-8.41850296125693E+00,-8.41850296125690E+00, 6.53342102924344E-01
   7, 1.45653857938074E+00,-1.14559375666029E+01,-8.63625587284317E+00,-6.90076113624705E+00,-1.05057547597826E+01,-9.13389801778547E+00,-9.13389801778543E+00,-6.05411812276345E-01
   7, 1.67478104814623E+00,-1.28026252110564E+01,-9.25401333740374E+00,-7.53000889736636E+00,-1.14358382853345E+01,-1.01651150906719E+01,-1.01651150906719E+01,-5.57939668356017E-01
   7, 2.00000000000000E+00,-1.48927592997045E+01,-1.01664507555820E+01,-8.47501934514755E+00,-1.28864675255995E+01,-1.17203716378759E+01,-1.17203716378759E+01,-5.14304731298617E-01
