L,g,chi
14,0.32653061224489793,-0.09009655129673484
14,0.36734693877551017,-0.10425637970088975
14,0.4081632653061224,-0.11968117979909575
14,0.44897959183673464,-0.13668328079829256
14,0.4897959183673469,-0.15566581504820204
14,0.5306122448979591,-0.17716159434905632
14,0.5714285714285714,-0.20189307585051072
14,0.6122448979591836,-0.23086698924661164
14,0.6530612244897959,-0.26552443935060976
14,0.6938775510204082,-0.30797042845163464
14,0.7346938775510203,-0.3612796971451317
14,0.7755102040816326,-0.42974114310141887
14,0.8163265306122448,-0.5185030198939127
14,0.8571428571428571,-0.6313207880928869
14,0.8979591836734693,-0.7647636028956654
14,0.9387755102040816,-0.9002625727446564
14,0.9795918367346939,-1.0035583290425067
14,1.0,-1.0321332340955776
14,1.0204081632653061,-1.0420064940939737
14,1.0612244897959182,-1.0077880092929683
14,1.1020408163265305,-0.9203954013931802
14,1.1428571428571428,-0.8087605633924385
14,1.183673469387755,-0.6954449523487408
14,1.2244897959183672,-0.592541601842082
14,1.2653061224489794,-0.5043158315920772
14,1.3061224489795917,-0.43081342429580377
14,1.346938775510204,-0.3703308205486197
14,1.3877551020408163,-0.3207106256459897
14,1.4285714285714284,-0.27990495245028096
14,1.4693877551020407,-0.2461669693488127
14,1.510204081632653,-0.21807798684793453
14,1.5510204081632653,-0.19451239454832095
14,1.5918367346938773,-0.17458602389771571
14,1.6326530612244896,-0.15760614724865674
14,1.673469387755102,-0.14302906514902072
14,1.7142857142857142,-0.1304261925480281
14,1.7551020408163265,-0.11945770479948059
14,1.7959183673469385,-0.10985235555022375
14,1.8367346938775508,-0.10139209594906184
14,1.8775510204081631,-0.0939003758492717
14,1.9183673469387754,-0.08723321299973247
14,1.9591836734693877,-0.08127236459878387
14,2.0,-0.07592005659923463
15,0.0,-1.4988010832341423e-09
15,0.04081632653061224,-0.010218979501419256
15,0.08163265306122448,-0.020527909000288412
15,0.12244897959183673,-0.031019590901256677
15,0.16326530612244897,-0.04179272405341704
15,0.2040816326530612,-0.05295537269765784
15,0.24489795918367346,-0.06462911390461139
15,0.2857142857142857,-0.07695424564751575
15,0.32653061224489793,-0.0900965516464551
15,0.36734693877551017,-0.10425637995068993
15,0.4081632653061224,-0.11968117954929557
15,0.44897959183673464,-0.13668328204729346
15,0.4897959183673469,-0.15566582889823427
15,0.5306122448979591,-0.17716170109700013
15,0.5714285714285714,-0.20189380234715135
15,0.6122448979591836,-0.23087123704872167
15,0.6530612244897959,-0.2655460817995537
15,0.6938775510204082,-0.3080675275026558
15,0.7346938775510203,-0.3616653463465912
15,0.7755102040816326,-0.43109670055103266
15,0.8163265306122448,-0.5226883444474814
15,0.8571428571428571,-0.6424796276951571
15,0.8979591836734693,-0.7897494483492415
15,0.9387755102040816,-0.9456290929959144
15,0.9795918367346939,-1.068376727696103
15,1.0,-1.102685457741718
15,1.0204081632653061,-1.1142745190466927
15,1.0612244897959182,-1.0719127587418273
15,1.1020408163265305,-0.967272039991465
15,1.1428571428571428,-0.8376880976435708
15,1.183673469387755,-0.7102095114961506
15,1.2244897959183672,-0.5977161392961261
15,1.2653061224489794,-0.5036153257470847
15,1.3061224489795917,-0.42680220089794835
15,1.346938775510204,-0.3646326909971225
15,1.3877551020408163,-0.31429949349586805
15,1.4285714285714284,-0.27334008424571793
15,1.4693877551020407,-0.23975450414835425
15,1.510204081632653,-0.21197389259847063
15,1.5510204081632653,-0.1887855902980973
15,1.5918367346938773,-0.16925627174979724
15,1.6326530612244896,-0.152666464449779
15,1.673469387755102,-0.13845881269756496
15,1.7142857142857142,-0.12619859250024326
15,1.7551020408163265,-0.11554409519922504
15,1.7959183673469385,-0.10622448380001391
15,1.8367346938775508,-0.09802330479749165
15,1.8775510204081631,-0.09076614224885972
15,1.9183673469387754,-0.08431130814834653
15,1.9591836734693877,-0.07854280370204918
15,2.0,-0.07336498449813332
16,0.0,-6.994405055092665e-10
16,0.04081632653061224,-0.010218979551379292
16,0.08163265306122448,-0.0205279093999687
16,0.12244897959183673,-0.031019591300936965
16,0.16326530612244897,-0.04179272465293747
16,0.2040816326530612,-0.05295537294745802
16,0.24489795918367346,-0.06462911435425171
16,0.2857142857142857,-0.07695424634695626
16,0.32653061224489793,-0.09009655044741423
16,0.36734693877551017,-0.10425638000064996
16,0.4081632653061224,-0.11968118039861618
16,0.44897959183673464,-0.13668328204729346
16,0.4897959183673469,-0.15566583164603626
